what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332163115039
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332163119424
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332163121060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163132415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163137447
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1332163137468
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1332163142602
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332163147600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163168268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163762101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163762870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163898948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163905415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163912319
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.PropertiesFileEditor: Resource is out of sync with the file system: '/TTT-Android/project.properties'.",1332163912558
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1332163912627
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1332163912631
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1332163912685
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332163926239
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1332163926239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163928712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163930619
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1332163933785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163933951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163939615
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332163940301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163944124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163946631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163946720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163950244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163953722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163960352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163964680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163973213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332163973615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332164071451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332164096010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332164101707
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332164102201
error,log,,,"Unhandled event loop exception",1332164103680
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1332164103819
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1332164103897
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1332164104004
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1332164104047
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1332164104056
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1332164104144
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1332164104144
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1332164104144
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,16.0.1.v201112150204-238534,"overlay.com.android.ide.eclipse.adt.overlay",1332164104182
stopped,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1332164104182
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1332164104188
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1332164104192
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1332164104261
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1332164104261
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1332164104281
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1332164104281
